ID-Vehiculo,ID-Origen,ID-Destino,Lon-Origen,Lat-Origen,Lon-Destino,Lat-Destino,Type-Origen,Type-Destino
1,9,15,-74.09547235719887,4.735973062153282,-74.10178731827096,4.732421040989568,Depot,Client
1,15,9,-74.10178731827096,4.732421040989568,-74.09547235719887,4.735973062153282,Client,Depot
2,5,14,-74.13826337931849,4.607707046760958,-74.15503659129905,4.601328214582278,Depot,Client
2,14,5,-74.15503659129905,4.601328214582278,-74.13826337931849,4.607707046760958,Client,Depot
3,11,21,-74.10977422186991,4.664702960902753,-74.09804168568287,4.636074548012315,Depot,Client
3,21,7,-74.09804168568287,4.636074548012315,-74.09561875464892,4.621911772492814,Client,Depot
4,5,13,-74.13826337931849,4.607707046760958,-74.19699184741948,4.632552840424734,Depot,Client
4,13,16,-74.19699184741948,4.632552840424734,-74.19486224157397,4.638612189685843,Client,Client
4,16,18,-74.19486224157397,4.638612189685843,-74.15228946899238,4.665002925306577,Client,Client
4,18,6,-74.15228946899238,4.665002925306577,-74.12400186370824,4.650463053612691,Client,Depot
5,9,17,-74.09547235719887,4.735973062153282,-74.11027242131048,4.727691608175209,Depot,Client
5,17,9,-74.11027242131048,4.727691608175209,-74.09547235719887,4.735973062153282,Client,Depot
6,9,20,-74.09547235719887,4.735973062153282,-74.0624758742746,4.707007012114083,Depot,Client
6,19,4,-74.03241075805882,4.6771016997028205,-74.06706883098641,4.72167778077445,Client,Depot
6,20,19,-74.0624758742746,4.707007012114083,-74.03241075805882,4.6771016997028205,Client,Client
